,Unnamed: 0,Unnamed: 0.1,Club,Name,Età,Nationality,Posizione,Pos,MarketValue,ClubInvolved,CountryInvolved,Costo,Movement,Season,Window,League,Profile,new_col
3670,3670,15113,Bayer 04 Leverkusen,Hans Sarpei,34,Ghana,Terzino sinistro,TS,500 mila €,FC Schalke 04,Germania,400 mila €,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/hans-sarpei/profil/spieler/707,"Bayer 04 Leverkusen,FC Schalke 04"
3671,3671,15114,Bayer 04 Leverkusen,Marcel Risse,20,Germania,Centrocampista di destra,CD,"1,00 mln €",1.FSV Magonza 05,Germania,Spesa prestito:150 mila €,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/marcel-risse/profil/spieler/51176,"Bayer 04 Leverkusen,1.FSV Magonza 05"
3672,3672,15115,Bayer 04 Leverkusen,Hajime Hosogai,24,Giappone,Mediano,M,"1,50 mln €",FC Augusta,Germania,Prestito,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/hajime-hosogai/profil/spieler/79355,"Bayer 04 Leverkusen,FC Augusta"
3673,3673,15116,Bayer 04 Leverkusen,Burak Kaplan,20,Turchia,Trequartista,TQ,500 mila €,SpVgg Greuther Fürth,Germania,Prestito,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/burak-kaplan/profil/spieler/61003,"Bayer 04 Leverkusen,SpVgg Greuther Fürth"
3674,3674,15117,Bayer 04 Leverkusen,Tomasz Zdebel,37,Polonia,Mediano,M,300 mila €,Alemannia Aachen,Germania,gratuito,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/tomasz-zdebel/profil/spieler/3836,"Bayer 04 Leverkusen,Alemannia Aachen"
3675,3675,15118,Bayer 04 Leverkusen,Sascha Dum,23,Germania,Centrocampista di sinistra,CS,700 mila €,Fortuna Düsseldorf,Germania,gratuito,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/sascha-dum/profil/spieler/20551,"Bayer 04 Leverkusen,Fortuna Düsseldorf"
3676,3676,15119,Bayer 04 Leverkusen,Lukas Sinkiewicz,24,Germania,Mediano,M,"1,40 mln €",FC Augusta,Germania,gratuito,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/lukas-sinkiewicz/profil/spieler/17134,"Bayer 04 Leverkusen,FC Augusta"
3677,3677,15120,Bayer 04 Leverkusen,Zvonko Pamic,19,Croazia,Centrale,CC,"1,00 mln €",SC Friburgo,Germania,Prestito,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/zvonko-pamic/profil/spieler/47624,"Bayer 04 Leverkusen,SC Friburgo"
3678,3678,15121,Bayer 04 Leverkusen,Kevin Kampl,19,Slovenia,Centrale,CC,100 mila €,SpVgg Greuther Fürth,Germania,gratuito,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/kevin-kampl/profil/spieler/53418,"Bayer 04 Leverkusen,SpVgg Greuther Fürth"
3679,3679,15122,Bayer 04 Leverkusen,Lucas Rocha,19,Brasile,Difensore centrale,DC,-,1.FC Kaiserslautern,Germania,Prestito,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/lucas-rocha/profil/spieler/143794,"Bayer 04 Leverkusen,1.FC Kaiserslautern"
3680,3680,15123,Bayer 04 Leverkusen,Jens Hegeler,22,Germania,Centrale,CC,900 mila €,1. FC Norimberga,Germania,Prestito,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/jens-hegeler/profil/spieler/51168,"Bayer 04 Leverkusen,1. FC Norimberga"
3681,3681,15124,Bayer 04 Leverkusen,Thanos Petsos,19,Grecia,Mediano,M,100 mila €,1.FC Kaiserslautern,Germania,Prestito,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/thanos-petsos/profil/spieler/82110,"Bayer 04 Leverkusen,1.FC Kaiserslautern"
3682,3682,15125,Bayer 04 Leverkusen,Toni Kroos,20,Germania,Centrale,CC,"12,00 mln €",FC Bayern Monaco,Germania,Fine prestito30/giu/2010,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/toni-kroos/profil/spieler/31909,"Bayer 04 Leverkusen,FC Bayern Monaco"
3683,3683,15126,VfB Stoccarda,Sami Khedira,23,Germania,Centrale,CC,"18,00 mln €",Real Madrid CF,Spagna,"14,00 mln €",Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/sami-khedira/profil/spieler/29401,"VfB Stoccarda,Real Madrid CF"
3684,3684,15127,VfB Stoccarda,Sebastian Rudy,20,Germania,Mediano,M,"1,50 mln €",TSG 1899 Hoffenheim,Germania,"4,00 mln €",Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/sebastian-rudy/profil/spieler/57051,"VfB Stoccarda,TSG 1899 Hoffenheim"
3685,3685,15128,VfB Stoccarda,Georges Mandjeck,21,Camerun,Mediano,M,"2,00 mln €",Stade Rennais FC,Francia,"1,20 mln €",Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/georges-mandjeck/profil/spieler/52112,"VfB Stoccarda,Stade Rennais FC"
3686,3686,15129,VfB Stoccarda,Martin Lanig,25,Germania,Mediano,M,"2,00 mln €",1.FC Colonia,Germania,700 mila €,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/martin-lanig/profil/spieler/3942,"VfB Stoccarda,1.FC Colonia"
3687,3687,15130,VfB Stoccarda,Julian Schieber,21,Germania,Punta centrale,P,"2,00 mln €",1. FC Norimberga,Germania,Spesa prestito:500 mila €,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/julian-schieber/profil/spieler/58124,"VfB Stoccarda,1. FC Norimberga"
3688,3688,15131,VfB Stoccarda,Clemens Walch,23,Austria,Centrocampista di destra,CD,300 mila €,1.FC Kaiserslautern,Germania,100 mila €,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/clemens-walch/profil/spieler/37831,"VfB Stoccarda,1.FC Kaiserslautern"
3696,3696,15139,VfB Stoccarda,Aleksandr Hleb,29,Bielorussia,Trequartista,TQ,"10,00 mln €",FC Barcellona,Spagna,Fine prestito30/giu/2010,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/aleksandr-hleb/profil/spieler/597,"VfB Stoccarda,FC Barcellona"
3697,3697,15140,VfB Stoccarda,Cristian Molinaro,26,Italia,Terzino sinistro,TS,"5,00 mln €",Juventus FC,Italia,Fine prestito30/giu/2010,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/cristian-molinaro/profil/spieler/21972,"VfB Stoccarda,Juventus FC"
3698,3698,15141,Hannover 96,Jan Rosenthal,24,Germania,Seconda punta,SP,"3,00 mln €",SC Friburgo,Germania,550 mila €,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/jan-rosenthal/profil/spieler/31173,"Hannover 96,SC Friburgo"
3699,3699,15142,Hannover 96,Mike Hanke,27,Germania,Punta centrale,P,"1,00 mln €",Borussia Mönchengladbach,Germania,gratuito,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/mike-hanke/profil/spieler/1428,"Hannover 96,Borussia Mönchengladbach"
3702,3702,15145,Hannover 96,Hanno Balitsch,29,Germania,Mediano,M,"3,00 mln €",Bayer 04 Leverkusen,Germania,gratuito,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/hanno-balitsch/profil/spieler/823,"Hannover 96,Bayer 04 Leverkusen"
3712,3712,15155,Hannover 96,Arouna Koné,26,Costa d'Avorio,Punta centrale,P,"2,50 mln €",Sevilla FC,Spagna,Fine prestito30/giu/2010,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/arouna-kone/profil/spieler/8552,"Hannover 96,Sevilla FC"
3713,3713,15156,Hannover 96,Élson,28,Brasile,Trequartista,TQ,"2,00 mln €",VfB Stoccarda,Germania,Fine prestito30/giu/2010,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/elson/profil/spieler/29248,"Hannover 96,VfB Stoccarda"
3714,3714,15157,VfL Wolfsburg,Edin Dzeko,24,Bosnia-Erzegovina,Punta centrale,P,"30,00 mln €",Manchester City,Inghilterra,"37,00 mln €",Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/edin-dzeko/profil/spieler/28396,"VfL Wolfsburg,Manchester City"
3718,3718,15161,VfL Wolfsburg,Jan Simunek,23,Repubblica Ceca,Difensore centrale,DC,"3,00 mln €",1.FC Kaiserslautern,Germania,850 mila €,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/jan-simunek/profil/spieler/56360,"VfL Wolfsburg,1.FC Kaiserslautern"
3720,3720,15163,VfL Wolfsburg,Andrea Barzagli,29,Italia,Difensore centrale,DC,"8,50 mln €",Juventus FC,Italia,300 mila €,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/andrea-barzagli/profil/spieler/7109,"VfL Wolfsburg,Juventus FC"
3721,3721,15164,VfL Wolfsburg,Mahir Saglik,27,Turchia,Punta centrale,P,"1,40 mln €",VfL Bochum,Germania,200 mila €,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/mahir-saglik/profil/spieler/2453,"VfL Wolfsburg,VfL Bochum"
3722,3722,15165,VfL Wolfsburg,Daniel Adlung,22,Germania,Centrale,CC,900 mila €,FC Energie Cottbus,Germania,150 mila €,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/daniel-adlung/profil/spieler/31469,"VfL Wolfsburg,FC Energie Cottbus"
3723,3723,15166,VfL Wolfsburg,Alexander Esswein,20,Germania,Ala destra,AD,350 mila €,SG Dynamo Dresda,Germania,50 mila €,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/alexander-esswein/profil/spieler/45662,"VfL Wolfsburg,SG Dynamo Dresda"
3724,3724,15167,VfL Wolfsburg,Nassim Ben Khalifa,19,Svizzera,Seconda punta,SP,"1,75 mln €",1. FC Norimberga,Germania,Prestito,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/nassim-ben-khalifa/profil/spieler/74288,"VfL Wolfsburg,1. FC Norimberga"
3727,3727,15170,VfL Wolfsburg,Caiuby,22,Brasile,Seconda punta,SP,750 mila €,FC Ingolstadt 04,Germania,Prestito,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/caiuby/profil/spieler/54137,"VfL Wolfsburg,FC Ingolstadt 04"
3728,3728,15171,VfL Wolfsburg,Christian Gentner,24,Germania,Centrale,CC,"7,00 mln €",VfB Stoccarda,Germania,gratuito,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/christian-gentner/profil/spieler/19112,"VfL Wolfsburg,VfB Stoccarda"
3729,3729,15172,VfL Wolfsburg,Alexander Laas,26,Germania,Centrocampista di sinistra,CS,250 mila €,RasenBallsport Lipsia,Germania,gratuito,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/alexander-laas/profil/spieler/2852,"VfL Wolfsburg,RasenBallsport Lipsia"
3730,3730,15173,SV Werder Brema,Mesut Özil,21,Germania,Trequartista,TQ,"27,00 mln €",Real Madrid CF,Spagna,"18,00 mln €",Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/mesut-ozil/profil/spieler/35664,"SV Werder Brema,Real Madrid CF"
3732,3732,15175,SV Werder Brema,Markus Rosenberg,27,Svezia,Punta centrale,P,"3,50 mln €",Racing Santander,Spagna,Spesa prestito:750 mila €,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/markus-rosenberg/profil/spieler/27505,"SV Werder Brema,Racing Santander"
3733,3733,15176,SV Werder Brema,Martin Harnik,23,Austria,Ala destra,AD,"1,60 mln €",VfB Stoccarda,Germania,300 mila €,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/martin-harnik/profil/spieler/31159,"SV Werder Brema,VfB Stoccarda"
3734,3734,15177,SV Werder Brema,Torsten Oehrl,24,Germania,Punta centrale,P,450 mila €,FC Augusta,Germania,200 mila €,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/torsten-oehrl/profil/spieler/31451,"SV Werder Brema,FC Augusta"
3735,3735,15178,SV Werder Brema,Peter Niemeyer,26,Germania,Mediano,M,"1,50 mln €",Hertha BSC,Germania,Spesa prestito:200 mila €,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/peter-niemeyer/profil/spieler/4691,"SV Werder Brema,Hertha BSC"
3738,3738,15181,SV Werder Brema,Márkó Futács,20,Ungheria,Punta centrale,P,200 mila €,FC Ingolstadt 04,Germania,Prestito,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/marko-futacs/profil/spieler/101277,"SV Werder Brema,FC Ingolstadt 04"
3742,3742,15185,1. FC Norimberga,Dennis Diekmeier,20,Germania,Terzino destro,TD,"4,50 mln €",Amburgo SV,Germania,"2,20 mln €",Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/dennis-diekmeier/profil/spieler/42044,"1. FC Norimberga,Amburgo SV"
3744,3744,15187,1. FC Norimberga,Dominik Reinhardt,25,Germania,Terzino destro,TD,"1,25 mln €",FC Augusta,Germania,100 mila €,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/dominik-reinhardt/profil/spieler/4208,"1. FC Norimberga,FC Augusta"
3745,3745,15188,1. FC Norimberga,Dario Vidosic,23,Australia,Trequartista,TQ,600 mila €,Arminia Bielefeld,Germania,Prestito,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/dario-vidosic/profil/spieler/43192,"1. FC Norimberga,Arminia Bielefeld"
3749,3749,15192,1. FC Norimberga,Manuel Stiefler,21,Germania,Centrale,CC,100 mila €,1.FC Saarbrücken,Germania,gratuito,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/manuel-stiefler/profil/spieler/56684,"1. FC Norimberga,1.FC Saarbrücken"
3751,3751,15194,1. FC Norimberga,Angelos Charisteas,30,Grecia,Punta centrale,P,"1,50 mln €",Athlétic Club Arlésien,Francia,gratuito,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/angelos-charisteas/profil/spieler/1519,"1. FC Norimberga,Athlétic Club Arlésien"
3754,3754,15197,1. FC Norimberga,Marcel Risse,20,Germania,Centrocampista di destra,CD,"1,00 mln €",Bayer 04 Leverkusen,Germania,Fine prestito30/giu/2010,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/marcel-risse/profil/spieler/51176,"1. FC Norimberga,Bayer 04 Leverkusen"
3756,3756,15199,1. FC Norimberga,Eric Maxim Choupo-Moting,21,Camerun,Punta centrale,P,"1,00 mln €",Amburgo SV,Germania,Fine prestito30/giu/2010,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/eric-maxim-choupo-moting/profil/spieler/45660,"1. FC Norimberga,Amburgo SV"
3757,3757,15200,1. FC Norimberga,Breno,20,Brasile,Difensore centrale,DC,"4,00 mln €",FC Bayern Monaco,Germania,Fine prestito30/giu/2010,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/breno/profil/spieler/52947,"1. FC Norimberga,FC Bayern Monaco"
3758,3758,15201,1. FC Norimberga,Andreas Ottl,25,Germania,Mediano,M,"2,50 mln €",FC Bayern Monaco,Germania,Fine prestito30/giu/2010,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/andreas-ottl/profil/spieler/14856,"1. FC Norimberga,FC Bayern Monaco"
3759,3759,15202,1. FC Norimberga,Mickaël Tavares,27,Senegal,Mediano,M,"1,25 mln €",Amburgo SV,Germania,Fine prestito30/giu/2010,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/mickael-tavares/profil/spieler/45139,"1. FC Norimberga,Amburgo SV"
3763,3763,15206,Eintracht Francoforte,Ümit Korkmaz,25,Austria,Ala sinistra,AS,"1,50 mln €",VfL Bochum,Germania,Spesa prestito:100 mila €,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/umit-korkmaz/profil/spieler/37977,"Eintracht Francoforte,VfL Bochum"
3770,3770,15213,Eintracht Francoforte,Faton Toski,23,Kosovo,Trequartista,TQ,200 mila €,VfL Bochum,Germania,gratuito,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/faton-toski/profil/spieler/39392,"Eintracht Francoforte,VfL Bochum"
3771,3771,15214,Eintracht Francoforte,Juvhel Tsoumou,19,Congo,Punta centrale,P,200 mila €,Alemannia Aachen,Germania,gratuito,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/juvhel-tsoumou/profil/spieler/42485,"Eintracht Francoforte,Alemannia Aachen"
3772,3772,15215,Eintracht Francoforte,Habib Bellaid,24,Algeria,Difensore centrale,DC,"1,00 mln €",CS Sedan-Ardennes,Francia,Prestito,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/habib-bellaid/profil/spieler/27385,"Eintracht Francoforte,CS Sedan-Ardennes"
3776,3776,15219,TSG 1899 Hoffenheim,Luiz Gustavo,23,Brasile,Mediano,M,"6,50 mln €",FC Bayern Monaco,Germania,"17,00 mln €",Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/luiz-gustavo/profil/spieler/10471,"TSG 1899 Hoffenheim,FC Bayern Monaco"
3778,3778,15221,TSG 1899 Hoffenheim,Demba Ba,25,Senegal,Punta centrale,P,"9,00 mln €",West Ham United,Inghilterra,800 mila €,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/demba-ba/profil/spieler/40205,"TSG 1899 Hoffenheim,West Ham United"
