,Unnamed: 0,Unnamed: 0.1,Club,Name,Età,Nationality,Posizione,Pos,MarketValue,ClubInvolved,CountryInvolved,Costo,Movement,Season,Window,League,Profile,new_col
3609,3609,15052,Borussia Dortmund,Nelson Haedo Valdez,26,Paraguay,Punta centrale,P,"4,00 mln €",Hércules CF,Spagna,"3,50 mln €",Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/nelson-haedo-valdez/profil/spieler/2050,"Borussia Dortmund,Hércules CF"
3610,3610,15053,Borussia Dortmund,Marc Ziegler,34,Germania,Portiere,POR,500 mila €,VfB Stoccarda,Germania,300 mila €,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/marc-ziegler/profil/spieler/162,"Borussia Dortmund,VfB Stoccarda"
3612,3612,15055,Borussia Dortmund,Moritz Leitner,18,Germania,Centrale,CC,"1,00 mln €",FC Augusta,Germania,Spesa prestito:150 mila €,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/moritz-leitner/profil/spieler/82243,"Borussia Dortmund,FC Augusta"
3613,3613,15056,Borussia Dortmund,Uwe Hünemeier,24,Germania,Difensore centrale,DC,400 mila €,FC Energie Cottbus,Germania,100 mila €,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/uwe-hunemeier/profil/spieler/10503,"Borussia Dortmund,FC Energie Cottbus"
3614,3614,15057,Borussia Dortmund,Julian Koch,19,Germania,Mediano,M,400 mila €,MSV Duisburg,Germania,Spesa prestito:50 mila €,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/julian-koch/profil/spieler/53534,"Borussia Dortmund,MSV Duisburg"
3616,3616,15059,Borussia Dortmund,Tamás Hajnal,29,Ungheria,Trequartista,TQ,"1,75 mln €",VfB Stoccarda,Germania,Prestito,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/tamas-hajnal/profil/spieler/264,"Borussia Dortmund,VfB Stoccarda"
3618,3618,15061,Borussia Dortmund,Marcel Höttecke,23,Germania,Portiere,POR,300 mila €,1.FC Union Berlino,Germania,gratuito,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/marcel-hottecke/profil/spieler/40462,"Borussia Dortmund,1.FC Union Berlino"
3621,3621,15064,FC Bayern Monaco,Martín Demichelis,30,Argentina,Difensore centrale,DC,"8,00 mln €",Málaga CF,Spagna,"3,00 mln €",Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/martin-demichelis/profil/spieler/2963,"FC Bayern Monaco,Málaga CF"
3622,3622,15065,FC Bayern Monaco,José Sosa,25,Argentina,Centrale,CC,"3,00 mln €",SSC Napoli,Italia,"3,00 mln €",Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/jose-sosa/profil/spieler/20137,"FC Bayern Monaco,SSC Napoli"
3623,3623,15066,FC Bayern Monaco,David Alaba,18,Austria,Difensore centrale,DC,"2,00 mln €",TSG 1899 Hoffenheim,Germania,Prestito,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/david-alaba/profil/spieler/59016,"FC Bayern Monaco,TSG 1899 Hoffenheim"
3624,3624,15067,FC Bayern Monaco,Mark van Bommel,33,Olanda,Mediano,M,"6,50 mln €",AC Milan,Italia,gratuito,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/mark-van-bommel/profil/spieler/3515,"FC Bayern Monaco,AC Milan"
3625,3625,15068,FC Bayern Monaco,Edson Braafheid,27,Olanda,Terzino sinistro,TS,"2,50 mln €",TSG 1899 Hoffenheim,Germania,gratuito,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/edson-braafheid/profil/spieler/16731,"FC Bayern Monaco,TSG 1899 Hoffenheim"
3626,3626,15069,FC Bayern Monaco,Luca Toni,33,Italia,Punta centrale,P,"8,00 mln €",Genoa CFC,Italia,gratuito,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/luca-toni/profil/spieler/5980,"FC Bayern Monaco,Genoa CFC"
3627,3627,15070,FC Bayern Monaco,Christian Lell,25,Germania,Terzino destro,TD,750 mila €,Hertha BSC,Germania,gratuito,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/christian-lell/profil/spieler/2233,"FC Bayern Monaco,Hertha BSC"
3628,3628,15071,FC Bayern Monaco,Mehmet Ekici,20,Turchia,Trequartista,TQ,700 mila €,1. FC Norimberga,Germania,Prestito,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/mehmet-ekici/profil/spieler/39724,"FC Bayern Monaco,1. FC Norimberga"
3629,3629,15072,FC Bayern Monaco,Andreas Görlitz,28,Germania,Terzino destro,TD,750 mila €,FC Ingolstadt 04,Germania,gratuito,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/andreas-gorlitz/profil/spieler/1742,"FC Bayern Monaco,FC Ingolstadt 04"
3631,3631,15074,FC Schalke 04,Rafinha,24,Brasile,Terzino destro,TD,"12,00 mln €",Genoa CFC,Italia,"8,00 mln €",Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/rafinha/profil/spieler/33947,"FC Schalke 04,Genoa CFC"
3632,3632,15075,FC Schalke 04,Heiko Westermann,26,Germania,Difensore centrale,DC,"9,00 mln €",Amburgo SV,Germania,"7,50 mln €",Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/heiko-westermann/profil/spieler/1726,"FC Schalke 04,Amburgo SV"
3633,3633,15076,FC Schalke 04,Ivan Rakitic,22,Croazia,Centrale,CC,"9,00 mln €",Sevilla FC,Spagna,"2,50 mln €",Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/ivan-rakitic/profil/spieler/32467,"FC Schalke 04,Sevilla FC"
3634,3634,15077,FC Schalke 04,Erik Jendrisek,24,Slovacchia,Punta centrale,P,"2,00 mln €",SC Friburgo,Germania,700 mila €,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/erik-jendrisek/profil/spieler/41369,"FC Schalke 04,SC Friburgo"
3635,3635,15078,FC Schalke 04,Jermaine Jones,29,Stati Uniti,Mediano,M,"5,00 mln €",Blackburn Rovers,Inghilterra,Spesa prestito:600 mila €,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/jermaine-jones/profil/spieler/1321,"FC Schalke 04,Blackburn Rovers"
3636,3636,15079,FC Schalke 04,Lewis Holtby,19,Germania,Centrale,CC,"3,00 mln €",1.FSV Magonza 05,Germania,Spesa prestito:200 mila €,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/lewis-holtby/profil/spieler/55508,"FC Schalke 04,1.FSV Magonza 05"
3637,3637,15080,FC Schalke 04,Tore Reginiussen,24,Norvegia,Difensore centrale,DC,"1,50 mln €",US Lecce,Italia,Spesa prestito:150 mila €,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/tore-reginiussen/profil/spieler/41328,"FC Schalke 04,US Lecce"
3638,3638,15081,FC Schalke 04,Jan Morávek,20,Repubblica Ceca,Centrale,CC,"2,00 mln €",1.FC Kaiserslautern,Germania,Spesa prestito:150 mila €,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/jan-moravek/profil/spieler/63022,"FC Schalke 04,1.FC Kaiserslautern"
3639,3639,15082,FC Schalke 04,Carlos Zambrano,21,Perù,Difensore centrale,DC,"3,50 mln €",FC St. Pauli,Germania,Spesa prestito:150 mila €,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/carlos-zambrano/profil/spieler/53533,"FC Schalke 04,FC St. Pauli"
3642,3642,15085,FC Schalke 04,Mohamed Amsif,21,Marocco,Portiere,POR,200 mila €,FC Augusta,Germania,gratuito,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/mohamed-amsif/profil/spieler/45674,"FC Schalke 04,FC Augusta"
3643,3643,15086,FC Schalke 04,Carlos Grossmüller,27,Uruguay,Centrale,CC,500 mila €,US Lecce,Italia,gratuito,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/carlos-grossmuller/profil/spieler/50791,"FC Schalke 04,US Lecce"
3647,3647,15090,FC Schalke 04,Gerald Asamoah,31,Germania,Punta centrale,P,"1,50 mln €",FC St. Pauli,Germania,Prestito,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/gerald-asamoah/profil/spieler/258,"FC Schalke 04,FC St. Pauli"
3657,3657,15100,Borussia Mönchengladbach,Rob Friend,29,Canada,Punta centrale,P,"2,50 mln €",Hertha BSC,Germania,"1,80 mln €",Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/rob-friend/profil/spieler/37176,"Borussia Mönchengladbach,Hertha BSC"
3659,3659,15102,Borussia Mönchengladbach,Thomas Kleine,32,Germania,Difensore centrale,DC,600 mila €,SpVgg Greuther Fürth,Germania,gratuito,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/thomas-kleine/profil/spieler/1116,"Borussia Mönchengladbach,SpVgg Greuther Fürth"
3660,3660,15103,Borussia Mönchengladbach,Oliver Neuville,37,Germania,Punta centrale,P,500 mila €,Arminia Bielefeld,Germania,gratuito,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/oliver-neuville/profil/spieler/81,"Borussia Mönchengladbach,Arminia Bielefeld"
3665,3665,15108,Borussia Mönchengladbach,Jan-Ingwer Callsen-Bracker,26,Germania,Difensore centrale,DC,350 mila €,FC Augusta,Germania,gratuito,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/jan-ingwer-callsen-bracker/profil/spieler/3851,"Borussia Mönchengladbach,FC Augusta"
3667,3667,15110,Borussia Mönchengladbach,Michael Bradley,23,Stati Uniti,Centrale,CC,"5,00 mln €",Aston Villa,Inghilterra,Prestito,Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/michael-bradley/profil/spieler/30593,"Borussia Mönchengladbach,Aston Villa"
3668,3668,15111,Bayer 04 Leverkusen,Patrick Helmes,26,Germania,Punta centrale,P,"8,50 mln €",VfL Wolfsburg,Germania,"5,00 mln €",Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/patrick-helmes/profil/spieler/6322,"Bayer 04 Leverkusen,VfL Wolfsburg"
3669,3669,15112,Bayer 04 Leverkusen,Theofanis Gekas,30,Grecia,Punta centrale,P,"3,00 mln €",Eintracht Francoforte,Germania,"1,00 mln €",Out,2010-20,e,1-bundesliga,https://www.transfermarkt.it/theofanis-gekas/profil/spieler/16402,"Bayer 04 Leverkusen,Eintracht Francoforte"
