,Unnamed: 0,Unnamed: 0.1,Club,Name,Età,Nationality,Posizione,Pos,MarketValue,ClubInvolved,CountryInvolved,Costo,Movement,Season,Window,League,Profile,new_col
8048,8048,6069,Valencia CF,Cristiano Lucarelli,23,Italia,Punta centrale,P,-,US Lecce,Italia,?,Out,1990-99,e,laliga,https://www.transfermarkt.it/cristiano-lucarelli/profil/spieler/21408,"Valencia CF,US Lecce"
8049,8049,6070,Valencia CF,Rubén Navarro,20,Spagna,Punta centrale,P,-,CD Numancia,Spagna,?,Out,1990-99,e,laliga,https://www.transfermarkt.it/ruben-navarro/profil/spieler/29107,"Valencia CF,CD Numancia"
8050,8050,6071,Valencia CF,Óscar Téllez,24,Spagna,Difensore centrale,DC,-,Deportivo Alavés,Spagna,?,Out,1990-99,e,laliga,https://www.transfermarkt.it/oscar-tellez/profil/spieler/29078,"Valencia CF,Deportivo Alavés"
8052,8052,6073,Valencia CF,Gabriel Popescu,25,Romania,Trequartista,TQ,-,CD Numancia,Spagna,?,Out,1990-99,e,laliga,https://www.transfermarkt.it/gabriel-popescu/profil/spieler/103222,"Valencia CF,CD Numancia"
8053,8053,6074,Real Saragozza,Kily González,24,Argentina,Centrocampista di sinistra,CS,-,Valencia CF,Spagna,"2,50 mln €",Out,1990-99,e,laliga,https://www.transfermarkt.it/kily-gonzalez/profil/spieler/7438,"Real Saragozza,Valencia CF"
8054,8054,6075,Real Saragozza,Nordin Wooter,22,Olanda,Ala destra,AD,-,FC Watford,Inghilterra,"1,40 mln €",Out,1990-99,e,laliga,https://www.transfermarkt.it/nordin-wooter/profil/spieler/12090,"Real Saragozza,FC Watford"
8055,8055,6076,Real Saragozza,Javi Peña,26,Spagna,Punta centrale,P,-,Unió Esportiva Lleida,Spagna,gratuito,Out,1990-99,e,laliga,https://www.transfermarkt.it/javi-pena/profil/spieler/253483,"Real Saragozza,Unió Esportiva Lleida"
8056,8056,6077,Real Saragozza,Gustavo López,26,Argentina,Ala sinistra,AS,-,Celta de Vigo,Spagna,?,Out,1990-99,e,laliga,https://www.transfermarkt.it/gustavo-lopez/profil/spieler/7552,"Real Saragozza,Celta de Vigo"
8057,8057,6078,Real Saragozza,Gilmar,28,Brasile,Difensore centrale,DC,-,Rayo Vallecano,Spagna,?,Out,1990-99,e,laliga,https://www.transfermarkt.it/gilmar/profil/spieler/253989,"Real Saragozza,Rayo Vallecano"
8059,8059,6080,Real Madrid CF,Clarence Seedorf,23,Olanda,Centrale,CC,-,Inter,Italia,"24,01 mln €",Out,1990-99,e,laliga,https://www.transfermarkt.it/clarence-seedorf/profil/spieler/4168,"Real Madrid CF,Inter"
8060,8060,6081,Real Madrid CF,Predrag Mijatović,30,Montenegro,Punta centrale,P,-,AC Fiorentina,Italia,"12,00 mln €",Out,1990-99,e,laliga,https://www.transfermarkt.it/predrag-mijatovi%C4%87/profil/spieler/24481,"Real Madrid CF,AC Fiorentina"
8061,8061,6082,Real Madrid CF,Christian Panucci,26,Italia,Terzino destro,TD,-,Inter,Italia,"9,30 mln €",Out,1990-99,e,laliga,https://www.transfermarkt.it/christian-panucci/profil/spieler/5940,"Real Madrid CF,Inter"
8062,8062,6083,Real Madrid CF,Davor Suker,31,Croazia,Punta centrale,P,-,FC Arsenal,Inghilterra,"5,40 mln €",Out,1990-99,e,laliga,https://www.transfermarkt.it/davor-suker/profil/spieler/1407,"Real Madrid CF,FC Arsenal"
8063,8063,6084,Real Madrid CF,Samuel Eto'o,18,Camerun,Punta centrale,P,-,RCD Mallorca,Spagna,"4,50 mln €",Out,1990-99,e,laliga,https://www.transfermarkt.it/samuel-etoo/profil/spieler/4257,"Real Madrid CF,RCD Mallorca"
8064,8064,6085,Real Madrid CF,Jaime,26,Spagna,Mediano,M,-,Deportivo de La Coruña,Spagna,"2,50 mln €",Out,1990-99,e,laliga,https://www.transfermarkt.it/jaime/profil/spieler/2758,"Real Madrid CF,Deportivo de La Coruña"
8065,8065,6086,Real Madrid CF,Roberto Rojas,24,Spagna,Terzino destro,TD,-,Málaga CF,Spagna,gratuito,Out,1990-99,e,laliga,https://www.transfermarkt.it/roberto-rojas/profil/spieler/7778,"Real Madrid CF,Málaga CF"
8066,8066,6087,Real Madrid CF,Manuel Tena,21,Spagna,Difensore centrale,DC,-,Real Valladolid CF,Spagna,gratuito,Out,1990-99,e,laliga,https://www.transfermarkt.it/manuel-tena/profil/spieler/7808,"Real Madrid CF,Real Valladolid CF"
8067,8067,6088,Real Madrid CF,Alberto Rivera,21,Spagna,Centrale,CC,-,CD Numancia,Spagna,Prestito,Out,1990-99,e,laliga,https://www.transfermarkt.it/alberto-rivera/profil/spieler/23306,"Real Madrid CF,CD Numancia"
