,Unnamed: 0,Unnamed: 0.1,Club,Name,Età,Nationality,Posizione,Pos,MarketValue,ClubInvolved,CountryInvolved,Costo,Movement,Season,Window,League,Profile,new_col
0,0,130,Fortuna Düsseldorf,Sven Backhaus,22,Germania,Libero,LIB,-,FC Energie Cottbus,Germania,175 mila €,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/sven-backhaus/profil/spieler/727,"Fortuna Düsseldorf,FC Energie Cottbus"
2,2,132,Fortuna Düsseldorf,Michael Preetz,22,Germania,Punta centrale,P,-,1.FC Saarbrücken,Germania,gratuito,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/michael-preetz/profil/spieler/348,"Fortuna Düsseldorf,1.FC Saarbrücken"
4,4,134,Fortuna Düsseldorf,Uwe Fuchs,23,Germania,Punta centrale,P,-,1.FC Colonia,Germania,?,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/uwe-fuchs/profil/spieler/14831,"Fortuna Düsseldorf,1.FC Colonia"
8,8,138,SG Wattenscheid 09,Maurice Banach,22,Germania,Punta centrale,P,-,1.FC Colonia,Germania,600 mila €,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/maurice-banach/profil/spieler/92661,"SG Wattenscheid 09,1.FC Colonia"
19,19,149,Bayer 05 Uerdingen,Brian Laudrup,21,Danimarca,Ala destra,AD,-,FC Bayern Monaco,Germania,"3,00 mln €",Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/brian-laudrup/profil/spieler/39667,"Bayer 05 Uerdingen,FC Bayern Monaco"
33,33,163,SV Werder Brema,Karl-Heinz Riedle,24,Germania,Punta centrale,P,-,SS Lazio,Italia,"7,50 mln €",Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/karl-heinz-riedle/profil/spieler/13806,"SV Werder Brema,SS Lazio"
42,42,172,VfL Bochum,Jürgen Gredig,24,Germania,Difensore centrale,DC,-,FC Schalke 04,Germania,?,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/jurgen-gredig/profil/spieler/91319,"VfL Bochum,FC Schalke 04"
43,43,173,VfB Stoccarda,Marco Kurz,21,Germania,Difensore centrale,DC,-,1. FC Norimberga,Germania,gratuito,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/marco-kurz/profil/spieler/558,"VfB Stoccarda,1. FC Norimberga"
45,45,175,VfB Stoccarda,Gerhard Poschner,20,Germania,Mediano,M,-,Borussia Dortmund,Germania,?,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/gerhard-poschner/profil/spieler/1521,"VfB Stoccarda,Borussia Dortmund"
48,48,178,Karlsruher SC,Michael Sternkopf,20,Germania,Centrocampista di destra,CD,-,FC Bayern Monaco,Germania,"1,70 mln €",Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/michael-sternkopf/profil/spieler/155,"Karlsruher SC,FC Bayern Monaco"
49,49,179,Karlsruher SC,Fabrizio Hayer,21,Germania,Trequartista,TQ,-,1.FSV Magonza 05,Germania,gratuito,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/fabrizio-hayer/profil/spieler/880,"Karlsruher SC,1.FSV Magonza 05"
56,56,186,Hertha BSC,Axel Kruse,23,Germania,Punta centrale,P,-,Eintracht Francoforte,Germania,550 mila €,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/axel-kruse/profil/spieler/6607,"Hertha BSC,Eintracht Francoforte"
68,68,198,Amburgo SV,Marcus Marin,23,Germania,Punta centrale,P,-,Stuttgarter Kickers,Germania,20 mila €,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/marcus-marin/profil/spieler/1541,"Amburgo SV,Stuttgarter Kickers"
70,70,200,Amburgo SV,Jörg Hoßbach,25,Germania,Portiere,POR,-,VfL Wolfsburg,Germania,?,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/jorg-hossbach/profil/spieler/17124,"Amburgo SV,VfL Wolfsburg"
74,74,204,1.FC Kaiserslautern,Sergio Allievi,26,Germania,Trequartista,TQ,-,SG Dynamo Dresda,Germania,300 mila €,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/sergio-allievi/profil/spieler/95330,"1.FC Kaiserslautern,SG Dynamo Dresda"
75,75,205,1.FC Kaiserslautern,Franco Foda,24,Germania,Libero,LIB,-,Bayer 04 Leverkusen,Germania,gratuito,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/franco-foda/profil/spieler/40461,"1.FC Kaiserslautern,Bayer 04 Leverkusen"
77,77,207,1.FC Kaiserslautern,Karl-Heinz Emig,28,Germania,Libero,LIB,-,SpVgg Unterhaching,Germania,gratuito,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/karl-heinz-emig/profil/spieler/97454,"1.FC Kaiserslautern,SpVgg Unterhaching"
80,80,210,1.FC Kaiserslautern,Michael Sommer,21,Germania,Centrocampo,Centrocampo,-,FC Energie Cottbus,Germania,?,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/michael-sommer/profil/spieler/85986,"1.FC Kaiserslautern,FC Energie Cottbus"
81,81,211,1.FC Kaiserslautern,Wolfram Wuttke,28,Germania,Seconda punta,SP,-,RCD Espanyol Barcellona,Spagna,?,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/wolfram-wuttke/profil/spieler/85581,"1.FC Kaiserslautern,RCD Espanyol Barcellona"
85,85,215,FC Bayern Monaco,Radmilo Mihajlovic,26,Bosnia-Erzegovina,Punta centrale,P,-,FC Schalke 04,Germania,"1,50 mln €",Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/radmilo-mihajlovic/profil/spieler/84658,"FC Bayern Monaco,FC Schalke 04"
86,86,216,FC Bayern Monaco,Hans Dorfner,25,Germania,Trequartista,TQ,-,1. FC Norimberga,Germania,"1,00 mln €",Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/hans-dorfner/profil/spieler/17945,"FC Bayern Monaco,1. FC Norimberga"
87,87,217,FC Bayern Monaco,Ludwig Kögl,24,Germania,Centrocampista di sinistra,CS,-,VfB Stoccarda,Germania,900 mila €,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/ludwig-kogl/profil/spieler/474,"FC Bayern Monaco,VfB Stoccarda"
88,88,218,FC Bayern Monaco,Thomas Kastenmaier,24,Germania,Terzino destro,TD,-,Borussia Mönchengladbach,Germania,400 mila €,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/thomas-kastenmaier/profil/spieler/84644,"FC Bayern Monaco,Borussia Mönchengladbach"
89,89,219,FC Bayern Monaco,Hans-Dieter Flick,25,Germania,Centrocampo,Centrocampo,-,1.FC Colonia,Germania,?,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/hans-dieter-flick/profil/spieler/87946,"FC Bayern Monaco,1.FC Colonia"
90,90,220,FC Bayern Monaco,Reinhold Daschner,20,Germania,Libero,LIB,-,1.FC Colonia,Germania,?,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/reinhold-daschner/profil/spieler/967,"FC Bayern Monaco,1.FC Colonia"
91,91,221,Eintracht Francoforte,Dieter Eckstein,26,Germania,Punta centrale,P,-,1. FC Norimberga,Germania,"1,40 mln €",Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/dieter-eckstein/profil/spieler/17948,"Eintracht Francoforte,1. FC Norimberga"
92,92,222,Eintracht Francoforte,Jörn Andersen,27,Norvegia,Punta centrale,P,-,Fortuna Düsseldorf,Germania,600 mila €,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/jorn-andersen/profil/spieler/3506,"Eintracht Francoforte,Fortuna Düsseldorf"
93,93,223,Eintracht Francoforte,Ralf Sievers,28,Germania,Mediano,M,-,FC St. Pauli,Germania,300 mila €,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/ralf-sievers/profil/spieler/84673,"Eintracht Francoforte,FC St. Pauli"
96,96,226,Eintracht Francoforte,Christian Heide,21,Germania,Centrocampo,Centrocampo,-,SV Darmstadt 98,Germania,?,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/christian-heide/profil/spieler/97895,"Eintracht Francoforte,SV Darmstadt 98"
98,98,228,Eintracht Francoforte,Dirk Bakalorz,26,Germania,Centrale,CC,-,SV Darmstadt 98,Germania,?,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/dirk-bakalorz/profil/spieler/97245,"Eintracht Francoforte,SV Darmstadt 98"
100,100,230,Borussia Mönchengladbach,Stefan Effenberg,21,Germania,Centrale,CC,-,FC Bayern Monaco,Germania,"2,00 mln €",Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/stefan-effenberg/profil/spieler/197,"Borussia Mönchengladbach,FC Bayern Monaco"
101,101,231,Borussia Mönchengladbach,André Winkhold,28,Germania,Centrocampista di destra,CD,-,Hertha BSC,Germania,150 mila €,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/andre-winkhold/profil/spieler/25274,"Borussia Mönchengladbach,Hertha BSC"
102,102,232,Borussia Mönchengladbach,Igor Belanov,30,Ucraina,Punta centrale,P,-,Eintracht Braunschweig,Germania,140 mila €,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/igor-belanov/profil/spieler/85752,"Borussia Mönchengladbach,Eintracht Braunschweig"
103,103,233,Borussia Mönchengladbach,Thomas Winter,23,Germania,Centrocampo,Centrocampo,-,Stuttgarter Kickers,Germania,gratuito,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/thomas-winter/profil/spieler/97272,"Borussia Mönchengladbach,Stuttgarter Kickers"
114,114,244,Borussia Dortmund,Andreas Möller,22,Germania,Trequartista,TQ,-,Eintracht Francoforte,Germania,gratuito,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/andreas-moller/profil/spieler/124,"Borussia Dortmund,Eintracht Francoforte"
117,117,247,Borussia Dortmund,Peter Peschel,18,Germania,Centrocampista di destra,CD,-,VfL Bochum,Germania,?,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/peter-peschel/profil/spieler/633,"Borussia Dortmund,VfL Bochum"
124,124,254,Bayer 04 Leverkusen,Sven Demandt,25,Germania,Punta centrale,P,-,Fortuna Düsseldorf,Germania,gratuito,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/sven-demandt/profil/spieler/1486,"Bayer 04 Leverkusen,Fortuna Düsseldorf"
126,126,256,Bayer 04 Leverkusen,Florian Hinterberger,31,Germania,Trequartista,TQ,-,TSV Monaco 1860,Germania,gratuito,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/florian-hinterberger/profil/spieler/6689,"Bayer 04 Leverkusen,TSV Monaco 1860"
128,128,258,Bayer 04 Leverkusen,Bernd Dreher,23,Germania,Portiere,POR,-,Bayer 05 Uerdingen,Germania,?,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/bernd-dreher/profil/spieler/196,"Bayer 04 Leverkusen,Bayer 05 Uerdingen"
133,133,263,1. FC Norimberga,Martin Schneider,21,Germania,Mediano,M,-,Borussia Mönchengladbach,Germania,?,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/martin-schneider/profil/spieler/377,"1. FC Norimberga,Borussia Mönchengladbach"
134,134,264,1. FC Norimberga,Thomas Kristl,27,Germania,Centrocampo,Centrocampo,-,1.FC Saarbrücken,Germania,?,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/thomas-kristl/profil/spieler/17963,"1. FC Norimberga,1.FC Saarbrücken"
135,135,265,1. FC Norimberga,Souleyman Sané,29,Senegal,Punta centrale,P,-,SG Wattenscheid 09,Germania,?,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/souleyman-sane/profil/spieler/16304,"1. FC Norimberga,SG Wattenscheid 09"
136,136,266,1. FC Norimberga,Stephan Kuhn,25,Germania,Terzino destro,TD,-,SG Wattenscheid 09,Germania,?,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/stephan-kuhn/profil/spieler/95316,"1. FC Norimberga,SG Wattenscheid 09"
139,139,269,1.FC Colonia,Thomas Häßler,24,Germania,Trequartista,TQ,-,Juventus FC,Italia,"7,80 mln €",Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/thomas-hassler/profil/spieler/553,"1.FC Colonia,Juventus FC"
140,140,270,1.FC Colonia,Uwe Rahn,28,Germania,Punta centrale,P,-,Hertha BSC,Germania,850 mila €,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/uwe-rahn/profil/spieler/25266,"1.FC Colonia,Hertha BSC"
141,141,271,1.FC Colonia,Armin Görtz,31,Germania,Centrocampista di sinistra,CS,-,Hertha BSC,Germania,340 mila €,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/armin-gortz/profil/spieler/25330,"1.FC Colonia,Hertha BSC"
143,143,273,1.FC Colonia,Hans-Georg Dreßen,25,Germania,Centrocampo,Centrocampo,-,Borussia Mönchengladbach,Germania,Prestito,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/hans-georg-dressen/profil/spieler/97249,"1.FC Colonia,Borussia Mönchengladbach"
146,146,715,Fortuna Düsseldorf,Jörn Andersen,28,Norvegia,Punta centrale,P,-,Eintracht Francoforte,Germania,600 mila €,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/jorn-andersen/profil/spieler/3506,"Fortuna Düsseldorf,Eintracht Francoforte"
147,147,716,Fortuna Düsseldorf,Dirk Krümpelmann,24,Germania,Centrale,CC,-,Bayer 05 Uerdingen,Germania,200 mila €,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/dirk-krumpelmann/profil/spieler/84648,"Fortuna Düsseldorf,Bayer 05 Uerdingen"
148,148,717,Fortuna Düsseldorf,Richard Walz,23,Germania,Trequartista,TQ,-,Bayer 05 Uerdingen,Germania,200 mila €,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/richard-walz/profil/spieler/84677,"Fortuna Düsseldorf,Bayer 05 Uerdingen"
155,155,724,SG Dynamo Dresda,Nico Däbritz,20,Germania,Mediano,M,-,VfB Leipzig,Germania,gratuito,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/nico-dabritz/profil/spieler/651,"SG Dynamo Dresda,VfB Leipzig"
157,157,726,SG Dynamo Dresda,Thomas Köhler,24,Germania,Portiere,POR,-,FC Hansa Rostock,Germania,?,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/thomas-kohler/profil/spieler/172,"SG Dynamo Dresda,FC Hansa Rostock"
159,159,728,SG Wattenscheid 09,Dirk Kontny,25,Germania,Centrocampo,Centrocampo,-,VfL Bochum,Germania,?,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/dirk-kontny/profil/spieler/84694,"SG Wattenscheid 09,VfL Bochum"
163,163,732,SV Werder Brema,Oliver Freund,21,Germania,Centrocampista di sinistra,CS,-,Hannover 96,Germania,Prestito,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/oliver-freund/profil/spieler/1593,"SV Werder Brema,Hannover 96"
164,164,733,VfL Bochum,Thorsten Legat,22,Germania,Centrocampista di sinistra,CS,-,SV Werder Brema,Germania,"1,20 mln €",Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/thorsten-legat/profil/spieler/270,"VfL Bochum,SV Werder Brema"
165,165,734,VfL Bochum,Stefan Kohn,25,Germania,Punta centrale,P,-,SV Werder Brema,Germania,700 mila €,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/stefan-kohn/profil/spieler/13769,"VfL Bochum,SV Werder Brema"
166,166,735,VfL Bochum,Uwe Leifeld,24,Germania,Punta centrale,P,-,FC Schalke 04,Germania,250 mila €,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/uwe-leifeld/profil/spieler/81629,"VfL Bochum,FC Schalke 04"
170,170,739,VfL Bochum,Andreas Ridder,26,Germania,Difensore centrale,DC,-,Arminia Bielefeld,Germania,?,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/andreas-ridder/profil/spieler/17277,"VfL Bochum,Arminia Bielefeld"
171,171,740,VfL Bochum,Carsten Eisenmenger,24,Germania,Portiere,POR,-,SC Friburgo,Germania,?,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/carsten-eisenmenger/profil/spieler/961,"VfL Bochum,SC Friburgo"
175,175,744,VfL Bochum,Josef Nehl,30,Germania,Centrocampo,Centrocampo,-,Bayer 04 Leverkusen,Germania,?,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/josef-nehl/profil/spieler/72106,"VfL Bochum,Bayer 04 Leverkusen"
177,177,746,VfB Stoccarda,Jürgen Hartmann,28,Germania,Mediano,M,-,Amburgo SV,Germania,650 mila €,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/jurgen-hartmann/profil/spieler/84638,"VfB Stoccarda,Amburgo SV"
179,179,748,VfB Stoccarda,Axel Jüptner,22,Germania,Trequartista,TQ,-,Bayer 05 Uerdingen,Germania,110 mila €,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/axel-juptner/profil/spieler/21659,"VfB Stoccarda,Bayer 05 Uerdingen"
182,182,751,Stuttgarter Kickers,Dirk Fengler,21,Germania,Centrocampista di destra,CD,-,1. FC Norimberga,Germania,500 mila €,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/dirk-fengler/profil/spieler/1495,"Stuttgarter Kickers,1. FC Norimberga"
183,183,752,Stuttgarter Kickers,Stefan Brasas,23,Germania,Portiere,POR,-,1.FC Saarbrücken,Germania,gratuito,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/stefan-brasas/profil/spieler/523,"Stuttgarter Kickers,1.FC Saarbrücken"
186,186,755,Stuttgarter Kickers,Ralf Allgöwer,27,Germania,Punta centrale,P,-,SSV Ulm 1846,Germania,?,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/ralf-allgower/profil/spieler/97084,"Stuttgarter Kickers,SSV Ulm 1846"
193,193,762,MSV Duisburg,Niels Schlotterbeck,24,Germania,Trequartista,TQ,-,FC Hansa Rostock,Germania,gratuito,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/niels-schlotterbeck/profil/spieler/4731,"MSV Duisburg,FC Hansa Rostock"
197,197,766,Karlsruher SC,Oliver Kreuzer,25,Germania,Difensore centrale,DC,-,FC Bayern Monaco,Germania,"2,35 mln €",Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/oliver-kreuzer/profil/spieler/1053,"Karlsruher SC,FC Bayern Monaco"
204,204,773,Amburgo SV,Thomas Doll,25,Germania,Trequartista,TQ,-,SS Lazio,Italia,"7,50 mln €",Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/thomas-doll/profil/spieler/1455,"Amburgo SV,SS Lazio"
205,205,774,Amburgo SV,Sascha Jusufi,28,Germania,Centrocampo,Centrocampo,-,FC Schalke 04,Germania,350 mila €,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/sascha-jusufi/profil/spieler/84641,"Amburgo SV,FC Schalke 04"
206,206,775,Amburgo SV,Michael Koch,21,Germania,Punta centrale,P,-,Hannover 96,Germania,25 mila €,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/michael-koch/profil/spieler/11129,"Amburgo SV,Hannover 96"
207,207,776,Amburgo SV,Torsten Fröhling,24,Germania,Difensore centrale,DC,-,FC St. Pauli,Germania,?,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/torsten-frohling/profil/spieler/38551,"Amburgo SV,FC St. Pauli"
209,209,778,1.FC Kaiserslautern,Bruno Labbadia,25,Germania,Punta centrale,P,-,FC Bayern Monaco,Germania,800 mila €,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/bruno-labbadia/profil/spieler/149,"1.FC Kaiserslautern,FC Bayern Monaco"
210,210,779,1.FC Kaiserslautern,Kay Friedmann,28,Germania,Difensore centrale,DC,-,1. FC Norimberga,Germania,400 mila €,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/kay-friedmann/profil/spieler/17951,"1.FC Kaiserslautern,1. FC Norimberga"
211,211,780,1.FC Kaiserslautern,Joachim Stadler,21,Germania,Difensore centrale,DC,-,Borussia Mönchengladbach,Germania,300 mila €,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/joachim-stadler/profil/spieler/508,"1.FC Kaiserslautern,Borussia Mönchengladbach"
212,212,781,1.FC Kaiserslautern,Markus Schupp,25,Germania,Trequartista,TQ,-,SG Wattenscheid 09,Germania,250 mila €,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/markus-schupp/profil/spieler/17932,"1.FC Kaiserslautern,SG Wattenscheid 09"
214,214,783,1.FC Kaiserslautern,Uwe Eckel,24,Germania,Attacco,Attacco,-,Amburgo SV,Germania,50 mila €,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/uwe-eckel/profil/spieler/84631,"1.FC Kaiserslautern,Amburgo SV"
215,215,784,1.FC Kaiserslautern,Bernhard Winkler,25,Germania,Punta centrale,P,-,SG Wattenscheid 09,Germania,Prestito,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/bernhard-winkler/profil/spieler/572,"1.FC Kaiserslautern,SG Wattenscheid 09"
216,216,785,1.FC Kaiserslautern,Rainer Ernst,29,Germania,Trequartista,TQ,-,FC Girondins Bordeaux,Francia,?,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/rainer-ernst/profil/spieler/112203,"1.FC Kaiserslautern,FC Girondins Bordeaux"
218,218,787,FC Schalke 04,Volodymyr Lyutyi,29,Ucraina,Punta centrale,P,-,MSV Duisburg,Germania,50 mila €,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/volodymyr-lyutyi/profil/spieler/84028,"FC Schalke 04,MSV Duisburg"
219,219,788,FC Schalke 04,Thorsten Wörsdörfer,23,Germania,Mediano,M,-,Stuttgarter Kickers,Germania,gratuito,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/thorsten-worsdorfer/profil/spieler/67792,"FC Schalke 04,Stuttgarter Kickers"
220,220,789,FC Schalke 04,Thomas Zechel,26,Germania,Centrocampista di destra,CD,-,1.FC Saarbrücken,Germania,?,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/thomas-zechel/profil/spieler/91322,"FC Schalke 04,1.FC Saarbrücken"
225,225,794,FC Hansa Rostock,Henri Fuchs,21,Germania,Punta centrale,P,-,1.FC Colonia,Germania,"1,25 mln €",Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/henri-fuchs/profil/spieler/237,"FC Hansa Rostock,1.FC Colonia"
230,230,799,FC Hansa Rostock,Paul Caligiuri,27,Stati Uniti,Mediano,M,-,SC Friburgo,Germania,?,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/paul-caligiuri/profil/spieler/5202,"FC Hansa Rostock,SC Friburgo"
234,234,803,FC Bayern Monaco,Jürgen Kohler,25,Germania,Difensore centrale,DC,-,Juventus FC,Italia,"7,50 mln €",Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/jurgen-kohler/profil/spieler/119,"FC Bayern Monaco,Juventus FC"
235,235,804,FC Bayern Monaco,Stefan Reuter,24,Germania,Centrocampista di destra,CD,-,Juventus FC,Italia,"2,90 mln €",Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/stefan-reuter/profil/spieler/130,"FC Bayern Monaco,Juventus FC"
237,237,806,FC Bayern Monaco,Michael Hecht,26,Germania,Centrocampo,Centrocampo,-,TSV Monaco 1860,Germania,gratuito,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/michael-hecht/profil/spieler/6730,"FC Bayern Monaco,TSV Monaco 1860"
242,242,811,Eintracht Francoforte,David Wagner,19,Stati Uniti,Punta centrale,P,-,1.FSV Magonza 05,Germania,?,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/david-wagner/profil/spieler/11473,"Eintracht Francoforte,1.FSV Magonza 05"
243,243,812,Eintracht Francoforte,Janusz Turowski,30,Polonia,Punta centrale,P,-,VfB Leipzig,Germania,?,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/janusz-turowski/profil/spieler/39770,"Eintracht Francoforte,VfB Leipzig"
244,244,813,Eintracht Francoforte,Thomas Lauf,26,Germania,Attacco,Attacco,-,SV Darmstadt 98,Germania,?,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/thomas-lauf/profil/spieler/84651,"Eintracht Francoforte,SV Darmstadt 98"
248,248,817,Borussia Mönchengladbach,Michael Spies,25,Germania,Trequartista,TQ,-,FC Hansa Rostock,Germania,150 mila €,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/michael-spies/profil/spieler/4723,"Borussia Mönchengladbach,FC Hansa Rostock"
249,249,818,Borussia Mönchengladbach,Frantisek Straka,33,Repubblica Ceca,Libero,LIB,-,FC Hansa Rostock,Germania,150 mila €,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/frantisek-straka/profil/spieler/4734,"Borussia Mönchengladbach,FC Hansa Rostock"
251,251,820,Borussia Mönchengladbach,Thomas Pfannkuch,21,Germania,Difensore centrale,DC,-,Olympique Lione,Francia,gratuito,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/thomas-pfannkuch/profil/spieler/11854,"Borussia Mönchengladbach,Olympique Lione"
253,253,822,Borussia Mönchengladbach,Hans-Georg Dreßen,26,Germania,Centrocampo,Centrocampo,-,1.FC Colonia,Germania,Fine prestito30/giu/1991,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/hans-georg-dressen/profil/spieler/97249,"Borussia Mönchengladbach,1.FC Colonia"
254,254,823,Borussia Dortmund,Martin Driller,21,Germania,Punta centrale,P,-,FC St. Pauli,Germania,400 mila €,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/martin-driller/profil/spieler/778,"Borussia Dortmund,FC St. Pauli"
255,255,824,Borussia Dortmund,Robert Nikolic,22,Germania,Terzino destro,TD,-,FC St. Pauli,Germania,200 mila €,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/robert-nikolic/profil/spieler/1071,"Borussia Dortmund,FC St. Pauli"
256,256,825,Borussia Dortmund,Andreas Müller,19,Germania,Centrocampo,Centrocampo,-,SG Wattenscheid 09,Germania,100 mila €,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/andreas-muller/profil/spieler/84659,"Borussia Dortmund,SG Wattenscheid 09"
259,259,828,Bayer 04 Leverkusen,Christian Schreier,32,Germania,Trequartista,TQ,-,Fortuna Düsseldorf,Germania,250 mila €,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/christian-schreier/profil/spieler/84192,"Bayer 04 Leverkusen,Fortuna Düsseldorf"
260,260,829,Bayer 04 Leverkusen,Oliver Pagé,20,Germania,Difensore centrale,DC,-,SG Dynamo Dresda,Germania,190 mila €,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/oliver-page/profil/spieler/84661,"Bayer 04 Leverkusen,SG Dynamo Dresda"
263,263,832,Bayer 04 Leverkusen,Knut Reinhardt,23,Germania,Centrocampista di sinistra,CS,-,Borussia Dortmund,Germania,?,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/knut-reinhardt/profil/spieler/17990,"Bayer 04 Leverkusen,Borussia Dortmund"
264,264,833,Bayer 04 Leverkusen,Alois Reinhardt,29,Germania,Difensore centrale,DC,-,FC Bayern Monaco,Germania,?,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/alois-reinhardt/profil/spieler/39669,"Bayer 04 Leverkusen,FC Bayern Monaco"
265,265,834,1. FC Norimberga,Frank Türr,20,Germania,Punta centrale,P,-,VfL Bochum,Germania,400 mila €,Out,1990-99,e,1-bundesliga,https://www.transfermarkt.it/frank-turr/profil/spieler/864,"1. FC Norimberga,VfL Bochum"
